Country,AI
Afghanistan,0.06453349411080726
Albania,0.42873753795137926
Algeria,0.4320966387459358
Andorra,0.39818264033935535
Angola,0.2166835339462974
Antigua and Barbuda,0.19555995779591315
Argentina,0.6878835511724555
Armenia,0.3716974225361212
Australia,0.8951142309597124
Austria,0.8011670721991345
Azerbaijan,0.5656208953295581
Bahamas,0.2585861630886502
Bahrain,0.6380568893865334
Bangladesh,0.5376068560108526
Barbados,0.1611507073491096
Belarus,0.26812514803729465
Belgium,0.7559053422622252
Belize,0.15120260114984604
Benin,0.45737602549471373
Bhutan,0.3725156650373592
Bolivia (Plurinational State of),0.2148747873646131
Bosnia and Herzegovina,0.32197842423720424
Botswana,0.33929071294761093
Brazil,0.8166060162356539
Brunei Darussalam,0.39665381882388406
Bulgaria,0.6369587218190824
Burkina Faso,0.27348678969014456
Burundi,0.09330117783854784
Cabo Verde,0.2993906246635517
Cambodia,0.3105014965224694
Cameroon,0.3297732606963675
Canada,0.8509722012876554
Central African Republic,0.021446566611399393
Chad,0.10529489029090676
Chile,0.6774617256303698
China,0.8642363428866735
Colombia,0.6373893757671023
Comoros,0.12898085743201052
Congo,0.09971792166404685
Costa Rica,0.521328136775694
Côte D'Ivoire,0.4353050106586853
Croatia,0.5213927348678971
Cuba,0.26433539329471817
Cyprus,0.6786890893822269
Czechia,0.7389806421050367
"Democratic People's Republic
of Korea",0.09455007428780604
"Democratic Republic of the
Congo",0.2092547533429513
Denmark,0.9012295170215971
Djibouti,0.1577485411597511
Dominica,0.10238797614177128
Dominican Republic,0.4818371697422536
Ecuador,0.6144785857324347
Egypt,0.6942787623005534
El Salvador,0.3840787235416981
Equatorial Guinea,0.06048534699941863
Eritrea,0.0
Estonia,0.836846751792597
Eswatini,0.23108890850756883
Ethiopia,0.4384057190844297
Fiji,0.34529833552249095
Finland,0.799810512262871
France,0.9390624663551603
Gabon,0.22652397665855603
Gambia (Republic of The),0.1792597058633535
Georgia,0.4094657737774811
Germany,0.8823668740983184
Ghana,0.5017979802329839
Greece,0.7008462350078594
Grenada,0.0975000538317435
Guatemala,0.24898258004780263
Guinea,0.09108331000624448
Guinea Bissau,0.0061583514566869784
Guyana,0.1974979005620034
Haiti,0.06509334424323336
Honduras,0.14736978101246748
Hungary,0.7228095863568831
Iceland,0.7001787213884285
India,0.7645184212226266
Indonesia,0.6739518959540062
Iran (Islamic Republic of),0.5262806571779248
Iraq,0.24648478714928623
Ireland,0.8126224672164682
Israel,0.8182425012381301
Italy,0.7774595723606297
Jamaica,0.43476669322366013
Japan,0.8160892314980297
Jordan,0.6429232789991602
Kazakhstan,0.6366357313580674
Kenya,0.6147369781012468
Kiribati,0.15266682457311426
Kuwait,0.42828535130595813
Kyrgyzstan,0.28660020240735556
"Lao People's Democratic
Republic",0.2521909519605521
Latvia,0.6727891302943521
Lebanon,0.2997136151245667
Lesotho,0.2593828728924873
Liberia,0.054736116793350685
Libya,0.2467431795180982
Liechtenstein,0.3829805559742469
Lithuania,0.7590060506879698
Luxembourg,0.7466678150771948
Madagascar,0.12532029887383997
Malawi,0.1891862793652161
Malaysia,0.6810792187937383
Maldives,0.1912964837105144
Mali,0.15568140220925475
Malta,0.7133351995004414
Marshall Islands,0.07555823518012104
Mauritania,0.24092935121982734
Mauritius,0.5726836200770871
Mexico,0.48549772830042415
"Micronesia (Federated States
of)",0.1289377920372085
Monaco,0.34805452078981935
Mongolia,0.4100686893047093
Montenegro,0.3951895954006159
Morocco,0.41706681596003536
Mozambique,0.16022480136086645
Myanmar,0.11423095971232318
Namibia,0.35683986132942874
Nauru,0.12099222669623826
Nepal,0.40360888008440815
Netherlands,0.898968583794492
New Zealand,0.7265132103098556
Nicaragua,0.1478865657500916
Niger,0.09405482224758296
Nigeria,0.5719730410628538
North Macedonia,0.36461316509119096
Norway,0.879093904093366
Oman,0.6426002885381453
Pakistan,0.4865958958678753
Palau,0.15109493766284102
Panama,0.3639241187743589
Papua New Guinea,0.23020606791412757
Paraguay,0.3354794255076333
Peru,0.659740315669344
Philippines,0.704054606920609
Poland,0.8222691156521178
Portugal,0.7518571951508367
Qatar,0.6472513511767619
Republic of Korea,0.9067203548588532
Republic of Moldova,0.5810383066686764
Romania,0.6503951249973086
Russian Federation,0.6497491440752783
Rwanda,0.56544863375035
Saint Kitts and Nevis,0.12796882065416335
Saint Lucia,0.19278223983118364
"Saint Vincent and the
Grenadines",0.13748627290540685
Samoa,0.15794233543636013
San Marino,0.3246700114123296
Sao Tome and Principe,0.088176395857109
Saudi Arabia,0.8332292586292285
Senegal,0.42234232682328116
Serbia,0.7188475700350984
Seychelles,0.20275187872784822
Sierra Leone,0.13940268297409614
Singapore,0.8810318468594561
Slovakia,0.48612217652505335
Slovenia,0.722981847936091
Solomon Islands,0.13595745138993562
Somalia,0.144505932258134
South Africa,0.5619603367713875
South Sudan,0.007299584418940155
Spain,0.874055252901531
Sri Lanka,0.49081630455847214
State of Palestine,0.30369716414375236
Sudan,0.06401670937318317
Suriname,0.07674253353717621
Sweden,0.7932430395555652
Switzerland,0.7120432376563812
Syrian Arab Republic,0.1335027238862212
Taiwan,0.7438685644150644
Tajikistan,0.29082061109795226
Thailand,0.7082965483086068
Timor-Leste,0.0836545294028983
Togo,0.2797312719364355
Tonga,0.1440322129153119
Trinidad and Tobago,0.29258629228483457
Tunisia,0.3985056308003704
Türkiye,0.6606877543549879
Turkmenistan,0.13931655218449218
Tuvalu,0.09577743803966322
Uganda,0.3346181176115932
Ukraine,0.7020090006675136
United Arab Emirates,0.7651859348420577
"United Kingdom of Great
Britain and Northern Ireland",0.9125126504597232
United Republic of Tanzania,0.4074201675243858
United States of America,1.0
Uruguay,0.6623673047522665
Uzbekistan,0.6272474752912298
Vanuatu,0.232294739562025
"Venezuela, Bolivarian
Republic of",0.19726104089059238
Viet Nam,0.6477250705195838
Yemen,0.029930449387394736
Zambia,0.47804741499967707
Zimbabwe,0.24715230076871728
