RANK,country,PQC_SCORE,AI_INDEX,LEGAL_WGI_SCORE,RES_INDEX,QSSI_SCORE
1,Denmark,0.9027187765505524,0.9129101593157498,0.9663234009914472,0.7176088170442433,0.8841457864508137
2,Norway,0.796516567544605,0.890230870661846,0.9247920136946012,0.7897549500073996,0.8506616813539732
3,Singapore,0.8584324553950722,0.8926495831531893,0.9467529926189896,0.6450186156262884,0.846384103686824
4,Germany,0.9203483432455396,0.89455549229934,0.8678682433117846,0.5402794163871945,0.8247663201538818
5,Australia,0.884983007646559,0.906168036193777,0.8913983025818323,0.5490572416395311,0.8246979353157763
6,Finland,0.9734494477485132,0.8135522384731969,0.9584398153347,0.43820065135753,0.8226729780480342
7,Canada,0.9823704333050128,0.8640010094156945,0.8537832796331456,0.4474138939284242,0.8136399810393986
8,Ireland,0.7787807986406118,0.8259901416078436,0.875736521594103,0.7233035359814183,0.8037266125889538
9,Luxembourg,0.7787807986406118,0.762188958278292,0.937967768108498,0.6912954714143279,0.7969325154717466
10,France,0.9027187765505524,0.947399817300537,0.7571854095710073,0.441822938333823,0.7853265273498163
11,Sweden,0.7610450297366185,0.807195928866983,0.908237582907886,0.5811283859477431,0.7733975640542514
12,Belgium,0.955819881053526,0.7715866701521545,0.7950749198037986,0.4741843546733551,0.7732482327397172
13,Japan,0.8318819031435853,0.8297091768673535,0.8575007215242297,0.5028744758535763,0.7719419407116866
14,Switzerland,0.796516567544605,0.7265760665428697,0.922336409910996,0.556696497294005,0.7625223888356489
15,Austria,0.8584324553950722,0.8154764620245336,0.8328247550093182,0.4541127096524097,0.7604275828074665
16,Spain,0.9027187765505524,0.8851748838237983,0.6889226499688639,0.4507107159205246,0.7544821595974363
17,United Arab Emirates,0.840696686491079,0.7817914268610413,0.7280314666812258,0.6142531708339929,0.7525153634996891
18,Iceland,0.7875955819881053,0.7126327491624229,0.8667066751187339,0.4998310502301324,0.7310797407127473
19,Italy,0.8937977909940527,0.7930010538413984,0.6444358429294295,0.4252730928791866,0.71255318006676
20,Portugal,0.8496176720475787,0.7673731459526376,0.7015072825442665,0.4112874191223301,0.7043628925629657
21,Saudi Arabia,0.7875955819881053,0.8473691074935811,0.6354236916438878,0.4748710573334173,0.7019510858474823
22,New Zealand,0.6460280373831776,0.7427354269507555,0.9170317897565512,0.4102926180501374,0.6908087390018074
23,Cyprus,0.8672472387425658,0.6912733086887354,0.6576950523475349,0.4598269958805703,0.6893816610579513
24,Greece,0.8584324553950722,0.713970911747825,0.5675206587019025,0.4584474136236569,0.6695921119556849
25,Hungary,0.9468988954970264,0.7380445172095522,0.555070976174037,0.3087459909887522,0.6690977401927557
26,Chile,0.8584324553950722,0.6894589715685118,0.698529211303743,0.3056448142298205,0.6656557451825494
27,Romania,0.9380841121495328,0.6618152681024874,0.5630706906556661,0.3381785657104029,0.6552824364764788
28,India,0.7610450297366185,0.7804532642756392,0.4908191446875781,0.5379361059928162,0.6537188323603531
29,Jordan,0.9468988954970264,0.6523785054045246,0.5474503285051612,0.3433287020041328,0.6526926175273559
30,Uruguay,0.8141461342395921,0.6743093254595549,0.7147129937076987,0.3008470431696006,0.6516688286976111
31,Malaysia,0.7256796941376381,0.694076623688973,0.6343759533959803,0.3700095659368269,0.6238189656998951
32,Malta,0.5751911639762107,0.7284453468786497,0.6159298724988426,0.4503893289071978,0.5987290198186759
33,Bulgaria,0.8141461342395921,0.6442237510695432,0.4970729169664213,0.2941393556945477,0.5883958784197783
34,Ukraine,0.8937977909940527,0.7157303056524923,0.3602563960267648,0.2106964565756289,0.5792753040331557
35,Oman,0.5751911639762107,0.6513333733020896,0.6219728920815022,0.435304029798536,0.5779447214984683
36,Albania,0.955819881053526,0.4463222202606491,0.4876508458624123,0.2701885519067149,0.5742769412281662
37,Brazil,0.7168649107901445,0.8309191386164575,0.4130226744470213,0.2238163084764187,0.5708081881981968
38,Rwanda,0.6460280373831776,0.5764678672268,0.5707738424204216,0.4160237011195762,0.5638235788506739
39,Qatar,0.3893372982158029,0.6568301168714523,0.6930377838391899,0.4902462445082824,0.5523174135440578
40,Mauritius,0.5486406117247239,0.5849327554430694,0.6498424329697279,0.3852061364022879,0.5503272079010741
41,Montenegro,0.7875955819881053,0.4093138007105392,0.5286793346803573,0.3333746476230859,0.5374518879687729
42,Dominican Republic,0.7787807986406118,0.49687845562053,0.4837470816098899,0.2916710080424913,0.5371248255082868
43,Thailand,0.5486406117247239,0.7226189440159491,0.4707354303628075,0.3676399120567997,0.5364587595234662
44,Argentina,0.5751911639762107,0.7006343917522271,0.4557897315810742,0.3486768488372286,0.5313987497936343
45,Peru,0.681393372982158,0.6705341359776238,0.4155681176337643,0.2685364944856179,0.529650874194618
46,Georgia,0.637213254035684,0.4260787474964091,0.5884643755050036,0.4096519846418876,0.5267301538894359
47,Philippines,0.5486406117247239,0.7182405901697629,0.438949807293756,0.3266419423350331,0.5192181713503035
48,Bhutan,0.5044604927782498,0.3877174839763055,0.6515967997708036,0.4978538531478085,0.510737489399814
49,Ghana,0.6282922684791844,0.5177079893507044,0.4831825899719507,0.3350681388628944,0.5057239531469979
50,Indonesia,0.4601741716227697,0.6857033074986308,0.4672230367361789,0.3733595901203665,0.5009557555696067
51,Morocco,0.796516567544605,0.4340845645761779,0.4499010939512184,0.2001909856827422,0.499989582031779
52,Benin,0.5841121495327103,0.4745324592805576,0.4278812747746087,0.4796786347655915,0.4967728053267229
53,Bangladesh,0.6637638062871708,0.5512465092727128,0.2813061278746889,0.4272125185465458,0.49270980488231086
54,Tunisia,0.796516567544605,0.4144454671830577,0.4221027110740237,0.2013285318234645,0.4883577211923447
55,Costa Rica,0.4689889549702634,0.5350895708785564,0.6196565913730386,0.2405479830122125,0.4774928236564202
56,Kuwait,0.3539719626168224,0.4451672017271014,0.5619613041168726,0.5664796184894159,0.4712696389439234
57,Panama,0.5751911639762107,0.3780987882333529,0.4550758091891383,0.3411463829258876,0.44908027513366355
58,Botswana,0.477909940526763,0.3540654446025904,0.5953814693423877,0.3168220363280914,0.44409911790989176
59,Kenya,0.4955395072217502,0.6230120368442038,0.3828781232875737,0.2175382202561744,0.4436420362507043
60,Nigeria,0.5751911639762107,0.5835579640472963,0.2750575090100442,0.2713867808869889,0.44148857363459615
61,Mongolia,0.4867247238742566,0.427361966866255,0.433235355213235,0.3697003596208008,0.4351068196063097
62,Jamaica,0.4424384027187765,0.4529910857618803,0.4980929489582634,0.297716791509383,0.4300458877975455
63,Senegal,0.3539719626168224,0.4393420098712652,0.4862027587609999,0.3666662555199322,0.41091103204709944
64,Ecuador,0.3893372982158029,0.6220218479573252,0.3404036848024685,0.1945621115089828,0.39631999495648584
65,Mexico,0.362786745964316,0.500762320526709,0.3467610006428698,0.2448524026908713,0.36968733461986375
66,Pakistan,0.4689889549702634,0.5032371872404733,0.2905122619104253,0.1501952428715164,0.36917309735310694
67,Algeria,0.3451571792693288,0.4499496834942319,0.3585966585677635,0.2755542924048365,0.3607945977772648
68,Bosnia and Herzegovina,0.3717077315208156,0.3354885827102261,0.3881540341765276,0.2549432841158808,0.3434116305011093
69,Antigua and Barbuda,0.1503823279524214,0.2048522291268782,0.6072894192836624,0.4546139035781736,0.3390728912039963
70,Maldives,0.2743203058623619,0.1996851448508534,0.4499312203774921,0.4547381138887519,0.3356478058435453
71,Uganda,0.2831350892098555,0.3485503866280423,0.3342418160529067,0.3680186843247699,0.3292423142981478
72,Burkina Faso,0.2477697536108751,0.2873107980107238,0.3457137059670255,0.3964978220282902,0.3118866164833579
73,Cambodia,0.2124044180118946,0.3249565887217305,0.3055012264081449,0.3840682768923968,0.2981494345645166
74,Angola,0.2920560747663551,0.2274411567617198,0.2977401710398435,0.3009719446820423,0.2791065433167058
75,Myanmar,0.3982582837723025,0.1148774880758125,0.1413759290844218,0.3698399394553571,0.2575088273128207
76,Guatemala,0.159303313508921,0.2618465087617673,0.3121409483360726,0.2923819781985882,0.24976425396685392
77,Chad,0.2212192013593882,0.1065065938991995,0.2007546910387879,0.4842051068569534,0.24002210301370397
78,Honduras,0.203483432455395,0.1530787659767057,0.2795780487166018,0.3009161386125323,0.22939246113245182
79,Guinea,0.2300339847068818,0.0882557582795792,0.2544265790206249,0.329246242516694,0.22053002824045437
80,Iraq,0.2124044180118946,0.2574107896862957,0.219908672870074,0.1826152129705428,0.21957423363676937
81,Nicaragua,0.1769328802039082,0.1542887277258097,0.1964772709589441,0.3890415032781305,0.218579664387987
82,Libya,0.1858538657604078,0.2584009785731744,0.1207095039707569,0.3088199064908667,0.2122977616622785
83,Zimbabwe,0.1503823279524214,0.2595193682963511,0.2235026631873492,0.2160812941167516,0.2090864650800018
84,Mali,0.0796516567544605,0.164000206501554,0.2540790397009392,0.288416805030704,0.18609866958310223
85,Burundi,0.0088147833474936,0.0909125580383334,0.2267693547307254,0.2993663040932398,0.14193817401516073
86,Liberia,0.0972812234494477,0.0504072981046679,0.2611678516452462,0.1599226499175314,0.13906268445581912
87,Haiti,0.0,0.0622981910974804,0.1088655739108627,0.2515412115441287,0.09309918356091151
